Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6V 1F","CDS CSP Super Cap 8mm dia",160.250000,-76.750000,180.000000,bottom
"U3","SA818S-V","DRA818 SA818",152.565000,-113.860000,0.000000,bottom
